id,annual_income,fico_score,dti,state,product,delinq_90d_12m
1,114184,723,0.319,CO,PERSONAL_LOAN,0
2,121579,814,0.216,MO,PERSONAL_LOAN,0
3,195604,724,0.205,WA,PERSONAL_LOAN,0
4,217475,797,0.204,WA,AUTO_REFI,0
5,142787,777,0.294,IN,PERSONAL_LOAN,0
6,126853,809,0.268,MA,PERSONAL_LOAN,0
7,141443,817,0.254,FL,AUTO_REFI,0
8,110353,765,0.336,TN,AUTO_REFI,0
9,96390,813,0.274,NY,AUTO_REFI,0
10,105656,790,0.247,SC,AUTO_REFI,0
11,135407,810,0.211,MN,PERSONAL_LOAN,0
12,160861,730,0.337,NY,AUTO_REFI,0
13,157869,778,0.302,CT,PERSONAL_LOAN,0
14,182040,765,0.234,MA,PERSONAL_LOAN,0
15,129862,788,0.317,PA,AUTO_REFI,0
16,184471,754,0.358,SC,PERSONAL_LOAN,0
17,170008,818,0.324,CO,PERSONAL_LOAN,0
18,167694,771,0.243,WA,AUTO_REFI,0
19,140738,803,0.28,SC,AUTO_REFI,0
20,122452,753,0.222,MO,AUTO_REFI,0
21,197311,794,0.264,CO,PERSONAL_LOAN,0
22,218569,783,0.215,TX,PERSONAL_LOAN,0
23,100033,705,0.375,MD,PERSONAL_LOAN,0
24,130432,712,0.352,VA,CREDIT_CARD,0
25,81504,703,0.362,GA,CREDIT_CARD,0
26,124587,703,0.315,PA,HOME_EQUITY,0
27,80425,708,0.397,WI,AUTO_REFI,0
28,146542,703,0.384,OR,AUTO_REFI,0
29,100032,711,0.372,GA,PERSONAL_LOAN,0
30,122487,715,0.282,CT,CREDIT_CARD,0
31,111385,701,0.309,AZ,PERSONAL_LOAN,0
32,91226,715,0.378,WI,AUTO_REFI,0
33,96828,715,0.394,PA,CREDIT_CARD,0
34,149163,713,0.396,GA,AUTO_REFI,0
35,120857,712,0.399,SC,CREDIT_CARD,0
36,147422,791,0.265,MS,PERSONAL_LOAN,0
37,119451,733,0.254,MS,PERSONAL_LOAN,0
38,167128,753,0.221,MS,PERSONAL_LOAN,0
39,120007,733,0.311,NV,PERSONAL_LOAN,0
40,99287,790,0.244,NV,PERSONAL_LOAN,0
41,118080,794,0.233,NV,PERSONAL_LOAN,0
42,121850,785,0.301,MS,PERSONAL_LOAN,0
43,102363,737,0.286,NV,PERSONAL_LOAN,0
44,145519,777,0.267,MS,PERSONAL_LOAN,0
45,178259,737,0.226,NV,PERSONAL_LOAN,0
46,194935,738,0.245,MS,PERSONAL_LOAN,0
47,160292,782,0.234,MS,PERSONAL_LOAN,0
48,126509,784,0.245,MS,PERSONAL_LOAN,0
49,148082,795,0.23,MS,PERSONAL_LOAN,0
50,102224,755,0.237,NV,PERSONAL_LOAN,0
51,101546,743,0.501,CA,CREDIT_CARD,0
52,80789,754,0.38,CA,HOME_EQUITY,0
53,87380,780,0.49,CA,HOME_EQUITY,0
54,97722,774,0.514,CA,PERSONAL_LOAN,0
55,113376,775,0.448,CA,CREDIT_CARD,0
56,89445,743,0.516,CA,PERSONAL_LOAN,0
57,118217,764,0.389,CA,HOME_EQUITY,0
58,73746,733,0.462,CA,PERSONAL_LOAN,0
59,104807,740,0.388,CA,PERSONAL_LOAN,0
60,75250,741,0.39,CA,CREDIT_CARD,0
61,55414,691,0.268,AZ,PERSONAL_LOAN,0
62,42604,719,0.262,MN,PERSONAL_LOAN,1
63,74261,680,0.39,WA,PERSONAL_LOAN,1
64,60590,670,0.29,IL,PERSONAL_LOAN,1
65,59660,698,0.297,WI,PERSONAL_LOAN,0
66,40610,698,0.343,AZ,PERSONAL_LOAN,0
67,44801,708,0.282,MA,PERSONAL_LOAN,0
68,62872,752,0.26,CO,PERSONAL_LOAN,0
69,58676,660,0.316,GA,PERSONAL_LOAN,1
70,59825,718,0.398,IN,PERSONAL_LOAN,1
71,74664,641,0.35,GA,PERSONAL_LOAN,0
72,46788,760,0.382,MA,PERSONAL_LOAN,0
73,47014,735,0.333,MA,PERSONAL_LOAN,0
74,53803,731,0.301,MN,PERSONAL_LOAN,1
75,57300,704,0.323,TX,PERSONAL_LOAN,0
76,67759,746,0.292,CA,PERSONAL_LOAN,0
77,48573,721,0.397,PA,PERSONAL_LOAN,1
78,68956,710,0.356,GA,PERSONAL_LOAN,0
79,47331,649,0.392,LA,PERSONAL_LOAN,0
80,42361,746,0.305,GA,PERSONAL_LOAN,0
81,68166,656,0.256,CT,PERSONAL_LOAN,0
82,63449,666,0.352,MN,PERSONAL_LOAN,0
83,63178,739,0.334,MD,PERSONAL_LOAN,1
84,50128,758,0.389,PA,PERSONAL_LOAN,0
85,67020,643,0.277,UT,PERSONAL_LOAN,0
86,56263,674,0.274,LA,PERSONAL_LOAN,0
87,65070,751,0.256,NC,PERSONAL_LOAN,0
88,53079,744,0.388,CT,PERSONAL_LOAN,0
89,54915,668,0.254,WA,PERSONAL_LOAN,0
90,61512,675,0.38,WI,PERSONAL_LOAN,0
